18,68
76,25
66,95
83,78
63,40
3,29
100,51
27,81
78,90
86,15
30,20
93,33
36,79
6,16
100,60
7,36
55,19
43,79
86,42
78,88
26,18
61,22
50,19
78,96
21,8
95,100
26,96
94,77
38,96
75,79
24,90
71,79
73,45
88,32
9,48
85,84
55,62
63,1
74,100
45,15
67,66
56,68
69,97
25,2
92,44
4,69
70,7
9,29
56,86
24,11
39,78
34,30
18,7
60,76
71,44
61,87
98,63
2,78
97,36
41,21
28,85
94,47
32,56
2,58
81,100
31,84
57,13
28,39
56,45
4,27
19,55
74,73
99,19
87,64
5,7
68,54
96,34
41,58
91,15
12,58
39,94
52,59
13,77
46,6
35,63
34,13
17,5
33,82
97,28
63,40
63,49
96,75
85,95
36,11
20,29
72,32
23,46
61,15
80,37
29,49
